0: (0.00000, 0.00000, 0.00000), (0.00000, 0.00000, 0.00000, 1.00000)
1: (-0.00021, 0.00614, -0.00088), (0.00508, 0.00279, 0.00281, 0.99998)
2: (-0.00127, 0.01051, -0.00339), (0.00169, 0.01006, 0.00325, 0.99994)
3: (-0.00298, 0.01066, -0.00687), (-0.00433, 0.01191, 0.00513, 0.99991)
4: (0.00014, 0.01224, -0.01030), (-0.01270, 0.01188, 0.00783, 0.99982)
5: (-0.00472, 0.01154, -0.01057), (-0.01135, 0.01593, 0.00837, 0.99977)
6: (-0.00399, 0.01494, -0.01212), (-0.00910, 0.01892, 0.00614, 0.99976)
7: (-0.00327, 0.01651, -0.01287), (-0.00590, 0.02053, 0.00639, 0.99975)
8: (-0.00191, 0.01490, -0.01002), (0.00150, 0.02420, 0.00886, 0.99967)
9: (-0.00123, 0.01386, -0.00757), (0.00811, 0.02021, 0.00968, 0.99972)
10: (-0.00314, 0.01421, -0.00986), (0.01289, 0.02400, 0.01750, 0.99948)
11: (-0.00249, 0.01635, -0.00955), (0.01382, 0.02591, 0.01828, 0.99940)
12: (-0.00160, 0.01600, -0.01167), (0.01261, 0.02679, 0.01866, 0.99939)
13: (-0.00040, 0.01846, -0.01501), (0.01315, 0.03027, 0.02043, 0.99925)
14: (0.00128, 0.01626, -0.01172), (0.00943, 0.02886, 0.02113, 0.99932)
15: (0.00025, 0.01660, -0.01164), (0.01011, 0.02854, 0.02137, 0.99931)
16: (0.00172, 0.01631, -0.01186), (0.01086, 0.02956, 0.02130, 0.99928)
17: (0.00232, 0.01673, -0.01197), (0.01090, 0.02833, 0.02074, 0.99932)
18: (0.00145, 0.01512, -0.01186), (0.01060, 0.02830, 0.02075, 0.99933)
19: (0.00119, 0.01483, -0.01278), (0.01200, 0.03053, 0.02076, 0.99925)
20: (0.00272, 0.01393, -0.01363), (0.01207, 0.03502, 0.02197, 0.99907)
21: (0.00306, 0.01394, -0.01431), (0.01106, 0.03586, 0.02204, 0.99905)
22: (0.00428, 0.01433, -0.01420), (0.01163, 0.03767, 0.02178, 0.99899)
23: (0.00397, 0.01457, -0.01492), (0.01365, 0.03871, 0.02523, 0.99884)
24: (0.00551, 0.01555, -0.01659), (0.01210, 0.04087, 0.03222, 0.99857)
25: (0.00521, 0.01742, -0.01602), (0.01160, 0.04347, 0.03713, 0.99830)
26: (0.00539, 0.01909, -0.01574), (0.01034, 0.04329, 0.03986, 0.99821)
27: (0.00549, 0.01953, -0.01605), (0.01050, 0.04401, 0.04171, 0.99811)
28: (0.00663, 0.02139, -0.01736), (0.01153, 0.04454, 0.04583, 0.99789)
29: (0.00632, 0.02208, -0.01700), (0.00950, 0.04641, 0.05002, 0.99762)
30: (0.00768, 0.02080, -0.01779), (0.00933, 0.04718, 0.05351, 0.99741)
31: (0.00649, 0.02305, -0.01686), (0.00825, 0.04667, 0.05348, 0.99744)
32: (0.00692, 0.02360, -0.01726), (0.00774, 0.04654, 0.05482, 0.99738)
33: (0.00632, 0.02359, -0.01666), (0.00754, 0.04710, 0.05551, 0.99732)
34: (0.00693, 0.02280, -0.01834), (0.00794, 0.04688, 0.05684, 0.99725)
35: (0.00767, 0.02482, -0.01866), (0.00786, 0.04757, 0.05743, 0.99718)
36: (0.00718, 0.02511, -0.01994), (0.00861, 0.04705, 0.05956, 0.99708)
37: (0.00681, 0.02705, -0.01904), (0.00723, 0.04816, 0.06187, 0.99690)
38: (0.00586, 0.02837, -0.01936), (0.00690, 0.04752, 0.06246, 0.99689)
39: (0.00603, 0.02870, -0.01937), (0.00601, 0.04639, 0.06475, 0.99680)
40: (0.00536, 0.03103, -0.01915), (0.00550, 0.04642, 0.06685, 0.99667)
41: (0.00434, 0.03165, -0.01976), (0.00529, 0.04746, 0.07078, 0.99635)
42: (0.00327, 0.03477, -0.01821), (0.00301, 0.04869, 0.07119, 0.99627)
43: (0.00358, 0.03347, -0.01901), (0.00170, 0.04614, 0.07309, 0.99626)
44: (0.00397, 0.03461, -0.01835), (0.00143, 0.04519, 0.07273, 0.99633)
45: (0.00403, 0.03482, -0.01817), (0.00006, 0.04142, 0.07304, 0.99647)
46: (0.00422, 0.03751, -0.01773), (-0.00148, 0.03885, 0.07228, 0.99663)
47: (0.00395, 0.03696, -0.01693), (-0.00321, 0.03720, 0.07568, 0.99643)
48: (0.00502, 0.03737, -0.01685), (-0.00404, 0.03681, 0.07607, 0.99641)
49: (0.00548, 0.03763, -0.01614), (-0.00354, 0.03675, 0.07470, 0.99652)
