0: (0.00000, 0.00000, 0.00000), (0.00000, 0.00000, 0.00000, 1.00000)
1: (-0.00046, -0.00022, 0.00115), (0.00166, -0.00140, -0.00201, 1.00000)
2: (0.00001, -0.00058, 0.00129), (0.00327, -0.00274, -0.00410, 0.99998)
3: (-0.00025, -0.00100, 0.00094), (0.00374, -0.00281, -0.00409, 0.99998)
4: (0.00255, -0.00331, 0.00093), (0.00699, -0.00201, -0.00373, 0.99997)
5: (0.00243, -0.00250, 0.00135), (0.01076, -0.00189, -0.00258, 0.99994)
6: (0.00231, -0.00332, 0.00107), (0.00889, -0.00097, 0.00008, 0.99996)
7: (0.00034, -0.00442, 0.00192), (0.01075, -0.00284, -0.00257, 0.99993)
8: (0.00153, -0.00379, 0.00247), (0.01203, -0.00451, -0.00372, 0.99991)
9: (0.00207, -0.00349, 0.00310), (0.01213, -0.00532, -0.00399, 0.99990)
10: (0.00347, -0.00333, 0.00332), (0.01311, -0.00562, -0.00498, 0.99989)
11: (0.00507, -0.00353, 0.00477), (0.01426, -0.00391, -0.00589, 0.99987)
12: (0.00626, -0.00453, 0.00648), (0.01431, -0.00299, -0.00617, 0.99987)
13: (0.00700, -0.00415, 0.00656), (0.01593, -0.00156, -0.00657, 0.99985)
14: (0.00765, -0.00560, 0.00732), (0.01681, -0.00153, -0.00818, 0.99982)
15: (0.00843, -0.00509, 0.00783), (0.01853, -0.00130, -0.00812, 0.99979)
16: (0.00796, -0.00481, 0.00874), (0.01835, -0.00151, -0.00924, 0.99979)
17: (0.00814, -0.00517, 0.00878), (0.01781, -0.00192, -0.01005, 0.99979)
18: (0.00810, -0.00523, 0.00901), (0.01788, -0.00244, -0.01034, 0.99978)
19: (0.00805, -0.00581, 0.00893), (0.01849, -0.00338, -0.01023, 0.99977)
20: (0.00721, -0.00556, 0.00849), (0.01915, -0.00326, -0.00953, 0.99977)
21: (0.00734, -0.00624, 0.00875), (0.01974, -0.00457, -0.00971, 0.99975)
22: (0.00641, -0.00571, 0.00905), (0.02095, -0.00457, -0.00963, 0.99972)
23: (0.00661, -0.00646, 0.00935), (0.02119, -0.00579, -0.00902, 0.99972)
24: (0.00654, -0.00732, 0.01061), (0.02121, -0.00696, -0.00873, 0.99971)
25: (0.00625, -0.00726, 0.01059), (0.02198, -0.00656, -0.00914, 0.99970)
26: (0.00649, -0.00698, 0.01108), (0.02230, -0.00665, -0.00794, 0.99970)
27: (0.00646, -0.00640, 0.01058), (0.02309, -0.00568, -0.00666, 0.99970)
28: (0.00613, -0.00580, 0.01002), (0.02245, -0.00535, -0.00628, 0.99971)
29: (0.00587, -0.00615, 0.00914), (0.02147, -0.00576, -0.00649, 0.99973)
30: (0.00587, -0.00619, 0.00989), (0.02127, -0.00640, -0.00651, 0.99973)
31: (0.00492, -0.00697, 0.01070), (0.02083, -0.00633, -0.00702, 0.99974)
32: (0.00456, -0.00695, 0.01045), (0.02088, -0.00694, -0.00746, 0.99973)
33: (0.00420, -0.00749, 0.01055), (0.02111, -0.00780, -0.00680, 0.99972)
34: (0.00507, -0.00767, 0.01052), (0.02173, -0.00888, -0.00725, 0.99970)
