0: (0.00599, -0.03995, -0.00947), (0.09979, 0.01019, -0.01120, 0.99489)
1: (0.01133, -0.05959, -0.04887), (0.14062, 0.00667, -0.02298, 0.98977)
2: (-0.00736, -0.07697, -0.07918), (0.16943, -0.03679, -0.01311, 0.98477)
3: (-0.06402, -0.07609, -0.09625), (0.15596, -0.16131, 0.03696, 0.97380)
4: (-0.10173, -0.06568, -0.11251), (0.12431, -0.26127, 0.07801, 0.95404)
5: (-0.09587, -0.02713, -0.11327), (0.04208, -0.20814, 0.07961, 0.97395)
6: (-0.06352, -0.01769, -0.08494), (0.02378, -0.05463, 0.03594, 0.99758)
7: (0.03421, -0.03630, -0.03711), (0.10831, 0.14783, -0.03483, 0.98245)
8: (0.07074, -0.06767, -0.00907), (0.18491, 0.21191, -0.07332, 0.95683)
9: (-0.00621, -0.07209, 0.01252), (0.20926, 0.04673, -0.04224, 0.97583)
10: (0.04428, -0.08164, 0.01343), (0.23479, 0.13266, -0.06588, 0.96069)
11: (0.13262, -0.10738, 0.04644), (0.27613, 0.25674, -0.13011, 0.91701)
12: (0.14640, -0.09727, 0.06766), (0.25740, 0.27825, -0.13201, 0.91591)
13: (0.14884, -0.09871, 0.06924), (0.25831, 0.27982, -0.13404, 0.91488)
14: (0.16223, -0.10105, 0.06776), (0.26877, 0.28875, -0.14613, 0.90721)
15: (0.27001, -0.10731, 0.11643), (0.34429, 0.27765, -0.17574, 0.87948)
16: (0.27564, -0.10735, 0.13512), (0.34639, 0.27598, -0.17575, 0.87918)
17: (0.26093, -0.11515, 0.08561), (0.34020, 0.17626, -0.11464, 0.91655)
18: (0.33077, -0.15328, 0.06608), (0.35874, 0.11046, -0.09123, 0.92238)
19: (0.34210, -0.15191, 0.08412), (0.35549, 0.10482, -0.08499, 0.92489)
20: (0.31662, -0.13717, 0.08370), (0.33925, 0.11178, -0.06463, 0.93179)
21: (0.27472, -0.09974, 0.00130), (0.27160, 0.15739, -0.07434, 0.94654)
22: (0.23471, -0.06888, -0.05182), (0.20009, 0.18935, -0.08739, 0.95733)
23: (0.23074, -0.05467, -0.04000), (0.17912, 0.19734, -0.08932, 0.95969)
24: (0.19799, -0.00534, -0.03801), (0.08905, 0.17782, -0.07186, 0.97739)
25: (0.12873, 0.01976, -0.07348), (-0.05092, 0.05279, -0.05428, 0.99583)
26: (0.12415, 0.02790, -0.10995), (-0.15833, 0.06065, -0.04244, 0.98461)
27: (0.09600, 0.03893, -0.16300), (-0.24790, -0.05679, -0.03513, 0.96648)
28: (0.04260, 0.03123, -0.18914), (-0.25094, -0.31429, 0.02092, 0.91532)
29: (0.01442, 0.01225, -0.13982), (-0.10473, -0.38915, 0.04415, 0.91413)
30: (0.01438, -0.00464, -0.04637), (0.04469, -0.27698, 0.01936, 0.95964)
31: (0.14632, -0.04737, 0.02533), (0.15470, 0.10292, -0.07303, 0.97987)
32: (0.23721, -0.10246, 0.02821), (0.24820, 0.26443, -0.18150, 0.91407)
33: (0.20704, -0.16724, -0.05382), (0.29296, 0.24621, -0.18532, 0.90510)
34: (0.28469, -0.20510, -0.07465), (0.31042, 0.18147, -0.16649, 0.91815)
35: (0.32722, -0.21934, -0.01292), (0.35585, 0.13768, -0.10848, 0.91796)
36: (0.34993, -0.22659, 0.06503), (0.43415, 0.15642, -0.14834, 0.87467)
37: (0.35683, -0.21347, 0.12999), (0.46458, 0.16570, -0.16193, 0.85468)
38: (0.35871, -0.21386, 0.12840), (0.46177, 0.16752, -0.16224, 0.85579)
39: (0.34373, -0.20178, 0.10314), (0.44102, 0.17154, -0.15575, 0.86707)
40: (0.27878, -0.17846, 0.00798), (0.36847, 0.17871, -0.13942, 0.90158)
41: (0.25584, -0.12488, -0.01705), (0.27644, 0.15047, -0.12538, 0.94086)
42: (0.19586, -0.04920, -0.11462), (0.08382, 0.13509, -0.14264, 0.97692)
43: (0.16121, -0.05313, -0.20699), (0.06629, 0.17118, -0.13576, 0.97359)
44: (0.11775, -0.14613, -0.34291), (0.12336, 0.16716, -0.11859, 0.97097)
45: (0.12970, -0.14158, -0.30631), (0.15885, 0.17375, -0.12614, 0.96367)
46: (0.11953, -0.14713, -0.28580), (0.17647, 0.18876, -0.12706, 0.95764)
47: (0.07071, -0.13298, -0.14886), (0.23045, 0.27091, -0.15135, 0.92228)
48: (0.08098, -0.13352, -0.07001), (0.25675, 0.33059, -0.19491, 0.88702)
49: (0.08221, -0.13514, -0.05874), (0.26109, 0.32588, -0.18564, 0.88948)
50: (0.08151, -0.13467, -0.05268), (0.26318, 0.32260, -0.18286, 0.89063)
51: (0.05153, -0.12577, -0.04283), (0.25129, 0.25458, -0.16173, 0.91972)
52: (0.01956, -0.09280, -0.05625), (0.20747, -0.00408, -0.10962, 0.97207)
53: (0.08470, -0.08836, -0.09864), (0.15569, -0.01848, -0.08182, 0.98424)
54: (0.17283, -0.13041, -0.09377), (0.23401, 0.17474, -0.20129, 0.93498)
55: (0.17545, -0.14102, -0.08934), (0.26972, 0.17764, -0.21771, 0.92103)
56: (0.13392, -0.12368, -0.07213), (0.26706, 0.12068, -0.17712, 0.93954)
57: (0.00785, -0.07129, 0.05709), (0.23346, -0.09042, -0.05340, 0.96668)
58: (0.01871, -0.00533, 0.09493), (0.17723, -0.05832, -0.06215, 0.98047)
59: (0.01204, 0.07124, 0.01923), (0.00633, -0.03789, -0.06495, 0.99715)
60: (0.00257, 0.05828, -0.00737), (0.01581, -0.04836, -0.03284, 0.99816)
61: (0.00434, 0.01276, -0.02984), (0.08579, -0.06504, -0.01377, 0.99409)
62: (-0.00966, 0.02546, -0.01564), (0.07155, -0.07651, -0.00166, 0.99450)
63: (0.00562, 0.05053, -0.01162), (0.01343, -0.01724, -0.01513, 0.99965)
64: (-0.00020, 0.05563, -0.01829), (-0.00829, -0.03231, -0.00045, 0.99944)
65: (0.00072, 0.05685, -0.01130), (-0.01144, -0.01716, -0.00280, 0.99978)
66: (0.00750, 0.05677, -0.01141), (-0.01265, -0.01439, -0.00559, 0.99980)
67: (0.00582, 0.05838, -0.01291), (-0.01281, -0.01351, -0.00713, 0.99980)
68: (0.00285, 0.05854, -0.01299), (-0.01435, -0.01146, -0.00617, 0.99981)
69: (0.00399, 0.05630, -0.01202), (-0.01420, -0.00958, -0.00687, 0.99983)
70: (0.00529, 0.05899, -0.00876), (-0.01018, -0.00795, -0.00594, 0.99990)
71: (0.00356, 0.05848, -0.00800), (-0.00838, -0.00635, -0.00650, 0.99992)
72: (0.00273, 0.05674, -0.00721), (-0.00731, -0.00492, -0.00621, 0.99994)
73: (0.00037, 0.05686, -0.00743), (-0.00627, -0.00239, -0.00675, 0.99995)
74: (0.00158, 0.05663, -0.01111), (-0.00631, -0.00595, -0.00535, 0.99995)
75: (0.00486, 0.05306, -0.01698), (-0.00738, -0.00149, -0.00993, 0.99992)
76: (0.00881, 0.05150, -0.01789), (-0.01032, -0.00060, -0.01489, 0.99984)
77: (0.00745, 0.03967, -0.00831), (0.05008, 0.00516, -0.01786, 0.99857)
78: (-0.00193, -0.02691, -0.01889), (0.15033, -0.03197, -0.02115, 0.98789)
79: (0.00201, -0.02972, -0.02546), (0.15055, 0.00237, -0.01732, 0.98845)
80: (0.00506, -0.02881, -0.03201), (0.14428, 0.04322, -0.02869, 0.98818)
81: (0.01201, -0.03278, -0.02857), (0.15662, 0.04304, -0.03742, 0.98601)
82: (-0.05062, -0.02684, -0.04279), (0.15024, -0.11785, 0.01028, 0.98155)
83: (-0.03439, -0.01633, -0.03866), (0.12969, -0.11543, 0.00752, 0.98478)
84: (-0.05001, 0.04630, -0.08605), (-0.02456, -0.11804, -0.00866, 0.99267)
85: (-0.04627, 0.03566, -0.06290), (0.00633, -0.09540, -0.01572, 0.99529)
86: (0.06419, 0.00661, -0.05784), (0.09883, 0.14378, -0.12271, 0.97699)
87: (-0.01599, 0.01592, -0.06651), (0.09496, -0.03642, -0.02679, 0.99445)
88: (-0.00888, 0.01622, -0.06150), (0.09304, -0.03027, -0.03780, 0.99448)
89: (-0.00491, 0.00247, -0.04324), (0.11867, -0.03427, -0.03935, 0.99156)
90: (-0.01523, -0.00421, -0.04490), (0.13270, -0.05351, -0.02977, 0.98926)
91: (-0.01315, -0.01625, -0.03585), (0.16004, -0.06845, -0.00316, 0.98473)
92: (0.13388, -0.09895, 0.03793), (0.07370, -0.00956, -0.02873, 0.99682)
93: (0.03133, -0.39927, -0.05143), (-0.00196, -0.13866, -0.04489, 0.98932)
94: (-0.02262, -0.39692, -0.21866), (0.01608, -0.08686, 0.01052, 0.99603)
95: (0.01521, -0.43577, -0.35692), (0.06874, -0.04377, -0.01324, 0.99659)
96: (-0.05902, -0.45652, -0.58976), (-0.01535, -0.06845, 0.07433, 0.99476)
97: (-0.05216, -0.48181, -0.62820), (0.07148, -0.01339, 0.04322, 0.99642)
98: (-0.05697, -0.46609, -0.62514), (0.09460, 0.00665, 0.03239, 0.99497)
99: (-0.07887, -0.25174, -0.68161), (0.20545, -0.04383, -0.01178, 0.97761)
100: (-0.11590, -0.30150, -0.78852), (0.02621, 0.03450, -0.02514, 0.99874)
101: (-0.14673, -0.30502, -0.84132), (0.05622, 0.03959, 0.00128, 0.99763)
102: (-0.13183, -0.31124, -0.85161), (0.05389, 0.05967, -0.00544, 0.99675)
103: (-0.14105, -0.31509, -0.85613), (0.08125, 0.06698, -0.01157, 0.99437)
104: (-0.13799, -0.31339, -0.86587), (0.08510, 0.05263, -0.01441, 0.99488)
105: (-0.13314, -0.30679, -0.89162), (0.04001, 0.07244, -0.01511, 0.99646)
106: (-0.13361, -0.30689, -0.89641), (0.04177, 0.06507, -0.01758, 0.99685)
107: (-0.13273, -0.30875, -0.89949), (0.03999, 0.06221, -0.01565, 0.99714)
108: (-0.15406, -0.30502, -0.90489), (0.04062, -0.00937, -0.02113, 0.99891)
109: (-0.15810, -0.29764, -0.90747), (0.03354, -0.02359, -0.00954, 0.99911)
110: (-0.14747, -0.29683, -0.90830), (0.01984, 0.02996, -0.01307, 0.99927)
111: (-0.14411, -0.30396, -0.90980), (0.01637, 0.03195, -0.01550, 0.99924)
112: (-0.14477, -0.29904, -0.90851), (0.02015, 0.03326, -0.01576, 0.99912)
113: (-0.14702, -0.29850, -0.90851), (0.02029, 0.03234, -0.01593, 0.99914)
114: (-0.14791, -0.29965, -0.90910), (0.02114, 0.03058, -0.01426, 0.99921)
115: (-0.07523, -0.13222, -0.57082), (0.06773, 0.02563, -0.03216, 0.99686)
116: (-0.02510, -0.07404, -0.22734), (0.15815, 0.03817, -0.02758, 0.98629)
117: (0.04536, -0.06978, -0.04291), (0.20586, 0.00346, -0.03884, 0.97780)
118: (0.03978, -0.06877, 0.02925), (0.23623, -0.00657, -0.02142, 0.97144)
119: (0.01685, -0.06622, 0.10106), (0.25653, -0.01196, -0.02714, 0.96608)
120: (0.01223, -0.05812, 0.08492), (0.23170, -0.01849, -0.02298, 0.97234)
121: (-0.02422, -0.03428, 0.05053), (0.16969, -0.12630, 0.00362, 0.97736)
122: (-0.02935, -0.03782, 0.04887), (0.18006, -0.14089, 0.01414, 0.97341)
123: (0.00296, -0.05248, 0.04755), (0.20184, -0.07839, 0.00887, 0.97624)
124: (0.00975, -0.04711, 0.02496), (0.18235, -0.12001, 0.00392, 0.97587)
125: (0.02782, -0.00957, 0.04086), (0.09864, -0.04246, 0.01403, 0.99412)
126: (0.04383, 0.02335, 0.02864), (0.02843, -0.02255, 0.01378, 0.99925)
127: (0.05210, 0.02199, 0.03404), (0.04806, -0.01988, 0.00800, 0.99861)
128: (0.04714, -0.04033, 0.01990), (0.13864, -0.02547, -0.00108, 0.99001)
129: (0.04402, -0.04134, 0.01726), (0.14042, -0.03698, 0.00674, 0.98938)
130: (0.04446, -0.03938, 0.01627), (0.13947, -0.03842, 0.00647, 0.98946)
131: (0.04549, -0.03971, 0.01482), (0.13811, -0.03929, 0.00470, 0.98963)
132: (0.04661, -0.04083, 0.01346), (0.13520, -0.04546, 0.00575, 0.98976)
133: (0.02237, -0.03890, 0.00562), (0.13653, -0.08295, 0.01761, 0.98700)
134: (0.01353, -0.03821, -0.03100), (0.11989, -0.13371, 0.03730, 0.98303)
135: (0.02164, -0.04035, -0.02370), (0.12685, -0.10281, 0.03165, 0.98607)
136: (0.04253, -0.05445, 0.00094), (0.15265, -0.11701, 0.00137, 0.98133)
137: (0.04949, 0.01811, 0.00673), (0.04064, -0.08038, -0.00155, 0.99593)
138: (0.06746, 0.04596, -0.02122), (-0.03254, -0.05627, 0.01162, 0.99782)
139: (0.07330, 0.07917, -0.02906), (-0.04953, -0.05388, 0.04343, 0.99637)
140: (0.05623, 0.08885, 0.00029), (-0.01634, -0.05400, 0.07588, 0.99552)
141: (0.06211, 0.08425, 0.01783), (-0.05047, -0.13523, 0.07498, 0.98668)
142: (0.06458, 0.07777, 0.02730), (-0.04073, -0.14752, 0.07983, 0.98499)
143: (0.11304, 0.00037, 0.08273), (-0.02744, -0.13847, 0.09496, 0.98542)
144: (0.13252, -0.02464, 0.09739), (-0.03005, -0.13268, 0.09953, 0.98569)
145: (0.27980, -0.24807, 0.21140), (-0.06495, -0.10940, -0.05017, 0.99060)
